@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
184,'2021/11/08 20:50:57:818',5,-0.846497,-0.955261,-0.655029,0.70161,0.847994,0.895697,0.056924,0.325388
185,'2021/11/08 20:50:58:134',5,-0.812073,-0.665039,-0.702393,0.70161,0.847994,0.895697,0.056924,0.325388
186,'2021/11/08 20:50:58:448',5,-0.773254,-0.745728,-0.812073,0.70161,0.847994,0.895697,0.056924,0.325388
187,'2021/11/08 20:50:58:764',5,-0.690369,-0.738037,-0.681458,0.70161,0.847994,0.895697,0.056924,0.325388
188,'2021/11/08 20:50:59:080',5,-0.717468,-0.745117,-0.684387,0.70161,0.847994,0.895697,0.056924,0.325388
189,'2021/11/08 20:50:59:379',5,-0.670227,-0.71637,-0.639282,0.70161,0.847994,0.895697,0.056924,0.325388
190,'2021/11/08 20:50:59:694',5,-0.556458,-0.669495,-0.78125,0.70161,0.847994,0.895697,0.056924,0.325388
191,'2021/11/08 20:51:03:444',6,1.062744,1.07666,0.970825,0.833934,0.191375,0.77563,0.111822,0.428207
192,'2021/11/08 20:51:03:758',6,0.931763,1.062073,0.866882,0.833934,0.191375,0.77563,0.111822,0.428207
193,'2021/11/08 20:51:04:059',6,0.444458,0.08252,-0.215576,0.833934,0.191375,0.77563,0.111822,0.428207
194,'2021/11/08 20:51:04:374',6,-0.451782,-0.635864,-0.721436,0.833934,0.191375,0.77563,0.111822,0.428207
195,'2021/11/08 20:51:04:689',6,-0.676697,-0.154114,-0.478027,0.833934,0.191375,0.77563,0.111822,0.428207
196,'2021/11/08 20:51:05:004',6,-0.764465,-0.434448,-0.416504,0.833934,0.191375,0.77563,0.111822,0.428207
197,'2021/11/08 20:51:05:319',6,-0.781494,-0.578735,-0.766724,0.833934,0.191375,0.77563,0.111822,0.428207
198,'2021/11/08 20:51:05:619',6,-0.463257,0.031799,-0.763428,0.833934,0.191375,0.77563,0.111822,0.428207
199,'2021/11/08 20:51:05:934',6,-0.378784,0.147156,0.390015,0.833934,0.191375,0.77563,0.111822,0.428207
200,'2021/11/08 20:51:06:249',6,0.789307,0.646301,0.513672,0.833934,0.191375,0.77563,0.111822,0.428207
201,'2021/11/08 20:51:06:563',6,0.61676,0.423279,0.170166,0.833934,0.191375,0.77563,0.111822,0.428207
202,'2021/11/08 20:51:06:878',6,0.085999,-0.039978,-0.106323,0.833934,0.191375,0.77563,0.111822,0.428207
203,'2021/11/08 20:51:07:178',6,0.503052,0.70459,0.523987,0.833934,0.191375,0.77563,0.111822,0.428207
204,'2021/11/08 20:51:07:493',6,0.484375,0.44342,0.434875,0.833934,0.191375,0.77563,0.111822,0.428207
205,'2021/11/08 20:51:07:809',6,0.262207,0.225403,0.179688,0.833934,0.191375,0.77563,0.111822,0.428207
206,'2021/11/08 20:51:08:123',6,-0.066223,0.029663,0.05127,0.833934,0.191375,0.77563,0.111822,0.428207
207,'2021/11/08 20:51:08:439',6,0.206665,0.573059,-0.031006,0.833934,0.191375,0.77563,0.111822,0.428207
208,'2021/11/08 20:51:08:738',6,0.289673,0.498413,0.014648,0.833934,0.191375,0.77563,0.111822,0.428207
209,'2021/11/08 20:51:09:054',6,-0.053589,0.065247,0.059265,0.833934,0.191375,0.77563,0.111822,0.428207
210,'2021/11/08 20:51:09:369',6,-0.107849,-0.046021,-0.417297,0.833934,0.191375,0.77563,0.111822,0.428207
211,'2021/11/08 20:51:09:699',6,-0.467896,-0.47113,-0.712402,0.833934,0.191375,0.77563,0.111822,0.428207
